date,y_gap,pi,ffr
2017 Q4,-0.160024007,2.4524810578412826,1.2033333333333334
2018 Q1,0.137670293,2.5361489927774983,1.4466666666666665
2018 Q2,0.14327148,2.8179232751821104,1.7366666666666666
2018 Q3,0.237640939,1.7233910193851898,1.9233333333333333
2018 Q4,-0.148505443,1.719880468310464,2.22
2019 Q1,-0.055926328,1.1979829354302751,2.4033333333333333
2019 Q2,0.249062271,2.0618801386401486,2.3966666666666665
2019 Q3,0.892121692,1.2689024070219546,2.19
2019 Q4,1.066369796,1.2419275170181265,1.6433333333333333
2020 Q1,-0.83420996,1.9699583596974435,1.26
2020 Q2,-9.126292032,-1.5950718979812706,0.060000000000000005
2020 Q3,-2.481817222,3.64631948451013,0.09333333333333334
2020 Q4,-1.901502132,2.4853480775163916,0.09
2021 Q1,-1.030671176,5.06243515542657,0.08
2021 Q2,0.028535166,6.179766063560166,0.07
2021 Q3,0.364680516,6.103771544977121,0.09
2021 Q4,1.639905204,6.82457289893712,0.08
2022 Q1,0.837284759,7.997704719684862,0.12000000000000001
2022 Q2,0.360034811,8.939879269590989,0.77
2022 Q3,0.479314949,4.402833786207339,2.19
2022 Q4,0.74518993,3.789405208778618,3.6533333333333333
2023 Q1,0.878761384,3.724162547780452,4.516666666666667
2023 Q2,0.923685025,2.0788836636224772,4.99
2023 Q3,1.429933358,3.2479327587964235,5.26
2023 Q4,1.648717739,1.5946821814704748,5.33
2024 Q1,1.476221855,3.1286103825703293,5.33
2024 Q2,1.636902092,2.5422761611800127,5.33
2024 Q3,1.763954377,1.6869790574265409,5.263333333333334
2024 Q4,1.671372463,2.3922719296113115,4.65
2025 Q1,1.601413229,3.5492523055566494,4.33
2025 Q2,1.532165159,2.098314203002616,4.33
2025 Q3,1.42559521,NA,4.293333333333333
2025 Q4,1.283378086,NA,4.09
2026 Q1,1.170071437,NA,NA
2026 Q2,1.072230444,NA,NA
2026 Q3,0.951910829,NA,NA
2026 Q4,0.830486605,NA,NA
2027 Q1,0.731298722,NA,NA
2027 Q2,0.605878383,NA,NA
2027 Q3,0.487347002,NA,NA
2027 Q4,0.397609245,NA,NA
2028 Q1,0.309392888,NA,NA
2028 Q2,0.190675481,NA,NA
2028 Q3,0.091012396,NA,NA
2028 Q4,0.008716921,NA,NA
2029 Q1,-0.061214611,NA,NA
2029 Q2,-0.126348531,NA,NA
2029 Q3,-0.188560286,NA,NA
2029 Q4,-0.246269755,NA,NA
2030 Q1,-0.28853998,NA,NA
2030 Q2,-0.316449614,NA,NA
2030 Q3,-0.365974192,NA,NA
2030 Q4,-0.399078055,NA,NA
2031 Q1,-0.427549557,NA,NA
2031 Q2,-0.450626568,NA,NA
2031 Q3,-0.468125618,NA,NA
2031 Q4,-0.48105743,NA,NA
2032 Q1,-0.490859763,NA,NA
2032 Q2,-0.497361479,NA,NA
2032 Q3,-0.499687833,NA,NA
2032 Q4,-0.499834085,NA,NA
2033 Q1,-0.499931376,NA,NA
2033 Q2,-0.499961664,NA,NA
2033 Q3,-0.499955326,NA,NA
2033 Q4,-0.499986676,NA,NA
2034 Q1,-0.499987093,NA,NA
2034 Q2,-0.499991969,NA,NA
2034 Q3,-0.499999645,NA,NA
2034 Q4,-0.499973995,NA,NA
2035 Q1,-0.49998221,NA,NA
2035 Q2,-0.499987899,NA,NA
2035 Q3,-0.499994587,NA,NA
2035 Q4,-0.499969747,NA,NA
